,company/brand,stage,amount,headquarter,what_it_does,year_collected,investor,sector,founded,founders
771,BitClass,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,"AET Japan, Figure Eight Investments, Waterbridge Ventures",IT & Technology,2020.0,"Gunjan Kejriwal, Utsav Tiwary"
772,Gonuts,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,"Sweta Rau, Archana Priyadarshini",Media & Entertainment,2020.0,"Vinamra Pandiya, Mayank Gupta, Joji George"
773,Uolo,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,"Rajul Garg, Purvi Capital",Education,2013.0,"Pallav Pandey, Ankur Pandey, Siddharth Singh"
774,Kirana King,Pre-series A,900000.0,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,Rajasthan Venture Capital Fund,Retail,2014.0,Anup Kumar
775,Jade Forest,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,Undisclosed,Consumer Goods,2020.0,"Punweet Singh, Shuchir Suri"
776,iKure,,2743000.0,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",Healthcare & Life Sciences,2010.0,Sujay Santra
777,FrontRow,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,"Lightspeed, Elevation, Deepika Padukone",Education,2020.0,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh"
778,Reliance Retail,,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,"Abu Dhabi Investment Authority, GIC",Retail,2006.0,Mukesh Ambani
779,TUBBR,,2743000.0,"Frisco, Texas, United States",World's First Personal Social Network,2020,Global Ascent Partners,Media & Entertainment,2019.0,"Saurabh Uttam, Ravi Singhal"
780,Ather Energy,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,HeroMotoCorp Ltd and Sachin Bansal,Transportation & Logistics,2013.0,"Arun Vinayak, Swapnil Jain, Tarun Mehta"
781,Routematic,,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,"VAMM Ventures, Naresh Malhotra",IT & Technology,2007.0,"Sriram Kannan, Surajit Das"
782,LivFin,,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,"DEG, KFW DEG",Financial Services,2017.0,Rakesh Malhotra
783,Universal Sportsbiz Pvt Ltd,,2743000.0,Bangalore,A fashion startup based in Bengaluru.,2020,"Accel, Alteria Capital",Consumer Goods,2012.0,Anjana Reddy
784,Lattu Kids,,2743000.0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,Mumbai Angels Network,Education,2017.0,Vivek Bhutyani
785,Eggoz,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,"AVANA Capital, Rebright Partners",Consumer Goods,2016.0,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar"
786,Steradian Semiconductors,,2743000.0,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,Endiya Partners.,IT & Technology,2016.0,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi"
